학교ID,학교명,학교급구분,위도,경도,시도명,시군구명,읍면동명,현행_농어촌,α1_학원수,β1_최단광역접근시간,β2_광역접근가능시설수,γ1_학령인구10대,δ1_사교육비,δ3_참여율,α1_학원수_norm,β1_최단광역접근시간_norm,β2_광역접근가능시설수_norm,γ1_학령인구10대_norm,δ1_사교육비_norm,δ3_참여율_norm,E_s,G_괴리도
B000030862,내손중학교,중학교,37.38499321,126.9781249,경기도,의왕시,내손동,0,340,41.29,0.0,2349,48.2,75.6,0.09818076812012706,0.708588404753331,0.0,0.15381089575694082,0.4087136929460581,0.8026755852842806,0.3619948911434562,0.638
B000012366,한밭고등학교,고등학교,36.34649685,127.3643986,대전광역시,서구,갈마동,0,1474,33.69,0.16,1306,48.6,63.9,0.42564250649725677,0.7770075621173929,0.028021015761821366,0.08551597695128339,0.41701244813278004,0.4113712374581937,0.357428457819788,0.643
B000013588,김해고등학교,고등학교,35.23139335,128.8960809,경상남도,김해시,삼정동,0,1596,27.67,0.72,3065,35.1,58.3,0.4608720762344788,0.8312027367662945,0.12609457092819615,0.20069408067050812,0.13692946058091282,0.22408026755852828,0.3299788654564864,0.67
B000022998,논산여자중학교,중학교,36.1951859,127.0916519,충청남도,논산시,취암동,0,165,19.94,3.15,3617,35.6,67.5,0.04764654923476755,0.9007922218221102,0.5516637478108581,0.23683865898376114,0.14730290456431538,0.5317725752508362,0.4026694429444414,0.597
B000009521,대월중학교,중학교,37.22442055,127.4914997,경기도,이천시,대월면,1,580,38.93,0.54,1128,48.2,75.6,0.1674848397343344,0.7298343536190133,0.09457092819614711,0.07386066003143008,0.4087136929460581,0.8026755852842806,0.3795233433018772,0.38
B000011958,혜화여자고등학교,고등학교,37.63130842,127.013212,서울특별시,강북구,수유동,0,388,35.85,0.02,1137,76.7,72.8,0.11204158244296854,0.7575621173928699,0.0035026269702276708,0.07444997380827659,0.9999999999999999,0.7090301003344479,0.44276440015813173,0.557
B000010297,호남중학교,중학교,35.55709637,126.8511976,전북특별자치도,정읍시,시기동,0,229,22.57,1.91,1108,37.4,64.9,0.06612763499855617,0.8771155923658625,0.3345008756567425,0.07255107386066004,0.18464730290456421,0.44481605351170583,0.32995975554968193,0.67
B000010296,정일중학교,중학교,35.58114306,126.8307516,전북특별자치도,정읍시,공평동,0,229,23.0,1.52,460,37.4,64.9,0.06612763499855617,0.8732445084623695,0.266199649737303,0.030120481927710843,0.18464730290456421,0.44481605351170583,0.31085927192370155,0.689
B000010376,계북중학교,중학교,35.78964391,127.6148355,전북특별자치도,장수군,계북면,1,23,61.67,0.0,69,37.4,64.9,0.006641640196361537,0.5251170327691753,0.0,0.004518072289156627,0.18464730290456421,0.44481605351170583,0.19429001694516057,0.194
B000008537,동래중학교,중학교,35.21016048,129.0793873,부산광역시,동래구,명륜동,0,1140,27.07,1.15,3605,47.4,72.2,0.3291943401674849,0.8366042491897732,0.20140105078809106,0.23605290728129913,0.39211618257261405,0.6889632107023413,0.4473886567836006,0.553
B000011094,김해중앙여자중학교,중학교,35.23260078,128.8886173,경상남도,김해시,동상동,0,1596,24.38,1.0,509,35.9,68.3,0.4608720762344788,0.8608210298883687,0.17513134851138354,0.03332896804609743,0.15352697095435675,0.5585284280936451,0.373701470288055,0.626
B000013345,용남고등학교,고등학교,35.04419447,128.0643803,경상남도,사천시,용현면,1,257,32.86,0.41,781,35.1,58.3,0.07421311002021369,0.7844796543032049,0.07180385288966724,0.05113933996856993,0.13692946058091282,0.22408026755852828,0.22377428088684947,0.224
B000022556,지축중학교,중학교,37.65336369,126.9177423,경기도,고양시 덕양구,지축동,0,0,41.55,0.0,2321,48.2,75.6,0.0,0.7062477493698236,0.0,0.15197747511786278,0.4087136929460581,0.8026755852842806,0.3449357504530042,0.655
B000008584,화신중학교,중학교,35.23864485,129.0145395,부산광역시,북구,화명동,0,642,23.19,1.62,2323,47.4,72.2,0.18538839156800463,0.8715340295282679,0.28371278458844135,0.15210843373493976,0.39211618257261405,0.6889632107023413,0.4289705054491014,0.571
B000012803,서석고등학교,고등학교,37.70937582,128.1897158,강원특별자치도,홍천군,서석면,1,81,81.84,0.42,156,31.0,52.2,0.02339012416979498,0.3435361901332372,0.07355516637478109,0.010214772132006287,0.051867219917012375,0.02006688963210701,0.08710506039315648,0.087
B000012566,군서고등학교,고등학교,37.34918175,126.7425022,경기도,시흥시,정왕동,0,1462,29.76,0.6,1006,57.3,67.5,0.42217730291654637,0.8123874684911775,0.10507880910683012,0.06587218438973284,0.5975103734439834,0.5317725752508362,0.42246645226651774,0.578
B000012857,청주신흥고등학교,고등학교,36.66965116,127.4965194,충청북도,청주시 청원구,율량동,0,0,43.51,0.27,4673,32.1,53.8,0.0,0.6886028087864602,0.047285464098073555,0.30598480880041906,0.07468879668049788,0.0735785953177257,0.19835674561386274,0.802
B000013348,김해여자고등학교,고등학교,35.24055291,128.8810336,경상남도,김해시,대성동,0,1596,32.13,0.41,9702,35.1,58.3,0.4608720762344788,0.7910514944184371,0.07180385288966724,0.6352802514405448,0.13692946058091282,0.22408026755852828,0.3866695671870948,0.613
B000008151,중암중학교,중학교,37.57243177,126.9035851,서울특별시,마포구,중동,0,1166,29.27,0.94,1570,66.4,81.5,0.336702281259024,0.8167987036370183,0.1646234676007005,0.10280251440544788,0.7863070539419087,0.9999999999999998,0.5345390034740165,0.465
B000009815,서석중학교,중학교,37.70937582,128.1897158,강원특별자치도,홍천군,서석면,1,81,81.84,0.42,156,35.2,66.3,0.02339012416979498,0.3435361901332372,0.07355516637478109,0.010214772132006287,0.13900414937759342,0.49163879598662175,0.18022319969567244,0.18
B000010373,계남중학교,중학교,35.70509628,127.5727227,전북특별자치도,장수군,계남면,1,23,36.92,0.22,111,37.4,64.9,0.006641640196361537,0.7479294202376665,0.03852889667250438,0.0072682032477737035,0.18464730290456421,0.44481605351170583,0.238305252795096,0.238
B000009581,덕이중학교,중학교,37.70291507,126.7536353,경기도,고양시 일산서구,덕이동,0,0,45.02,0.0,3709,48.2,75.6,0.0,0.6750090025207057,0.0,0.24286275536930332,0.4087136929460581,0.8026755852842806,0.3548768393533913,0.645
B000010075,온양여자중학교,중학교,36.77694367,127.0143735,충청남도,아산시,풍기동,0,731,31.63,1.67,2989,35.6,67.5,0.21108865145827319,0.795552754771336,0.2924693520140105,0.195717653221582,0.14730290456431538,0.5317725752508362,0.3623173152133922,0.638
B000009699,갈월중학교,중학교,37.82400784,127.1532572,경기도,포천시,소흘읍,1,149,47.9,0.03,3958,48.2,75.6,0.04302627779382039,0.6490817428880087,0.005253940455341506,0.25916710319539027,0.4087136929460581,0.8026755852842806,0.36131972376048327,0.361
B000022540,고양중학교,중학교,37.64960904,126.8845811,경기도,고양시 덕양구,삼송동,0,0,32.63,0.28,1916,48.2,75.6,0.0,0.7865502340655384,0.0490367775831874,0.12545835515976952,0.4087136929460581,0.8026755852842806,0.3620724408398056,0.638
B000011629,진경여자고등학교,고등학교,36.00504357,126.9408324,전북특별자치도,익산시,황등면,1,630,56.2,0.16,355,34.4,52.7,0.18192318798729426,0.5743608210298883,0.028021015761821366,0.02324515453116815,0.12240663900414928,0.03678929765886285,0.16112435266219735,0.161
B000025808,안산국제비즈니스고등학교,고등학교,37.36094704,126.8741442,경기도,안산시 상록구,장상동,0,0,51.41,0.0,597,57.3,67.5,0.0,0.617482895210659,0.0,0.0390911471974856,0.5975103734439834,0.5317725752508362,0.297642831850494,0.702
B000013528,송원고등학교,고등학교,35.10818451,126.8732664,광주광역시,남구,송하동,0,916,16.64,1.07,2643,41.3,60.7,0.2645105399942247,0.9305005401512423,0.1873905429071804,0.17306181246726035,0.2655601659751037,0.30434782608695676,0.35422857126366136,0.646
B000009629,별내중학교,중학교,37.71101831,127.1127461,경기도,남양주시,별내면,1,2048,43.65,0.0,1539,48.2,75.6,0.591394744441236,0.6873424558876485,0.0,0.10077265584075433,0.4087136929460581,0.8026755852842806,0.43181652239999624,0.432
B000011241,해인중학교,중학교,35.75875748,128.1358164,경상남도,합천군,가야면,1,39,110.64,0.0,138,35.9,68.3,0.011261911637308693,0.08426359380626569,0.0,0.009036144578313254,0.15352697095435675,0.5585284280936451,0.13610284151164825,0.136
B000008349,서초중학교,중학교,37.48553868,127.0085193,서울특별시,서초구,서초동,0,1823,14.88,3.19,2620,66.4,81.5,0.5264221773029166,0.9463449765934462,0.5586690017513135,0.17155578837087482,0.7863070539419087,0.9999999999999998,0.6648831663267432,0.335
B000012028,독산고등학교,고등학교,37.47621872,126.9109732,서울특별시,금천구,독산동,0,372,30.37,0.52,1870,76.7,72.8,0.10742131100202137,0.8068959308606409,0.09106830122591944,0.12244630696699843,0.9999999999999999,0.7090301003344479,0.47281032506500464,0.527
B000010195,근흥중학교,중학교,36.71634464,126.2289023,충청남도,태안군,근흥면,1,53,100.2,0.0,143,35.6,67.5,0.015304649148137454,0.17824990997479284,0.0,0.009363541121005762,0.14730290456431538,0.5317725752508362,0.14699893000984793,0.147
B000013226,영동고등학교,고등학교,35.97778874,128.9465541,경상북도,영천시,야사동,0,141,28.08,1.37,2490,29.8,52.8,0.04071614207334681,0.8275117032769176,0.23992994746059546,0.16304347826086957,0.026970954356846488,0.04013377926421402,0.22305100078213166,0.777
B000011358,일신여자상업고등학교,고등학교,37.50179413,127.1142413,서울특별시,송파구,송파동,0,1960,23.69,1.67,1887,76.7,72.8,0.5659832515160266,0.8670327691753691,0.2924693520140105,0.12355945521215296,0.9999999999999999,0.7090301003344479,0.5930124880420011,0.407
